"","x"
"1",-76.1489205201917
"2",-122.65760193568
"3",-48.1581402192972
"4",-106.508983274339
"5",-108.875849825421
"6",-72.5560847929667
"7",-78.3079547763627
"8",-88.8539353455986
"9",-64.9200379746932
"10",-73.96363222271
"11",-97.4809651773787
"12",-96.3553372002991
"13",-130.222130412678
