"","prevalence","topic"
"1",24.3553671658983,"1"
"2",47.7653745581573,"2"
"3",45.2456917857712,"3"
"4",44.6243038984149,"4"
"5",69.6680791759924,"5"
"6",47.364500903429,"6"
"7",45.9766825123368,"7"
