"","topic","prevalence"
"1","Consumers",198.623352109167
"2","Digital Security",177.816393947955
"3","FBCA",45.2001334960419
"4","Industry",98.1570367346661
"5","Internet concerns",66.9873604123898
"6","Scandal",63.8016811982601
"7","Scope",172.445291190752
"8","Social Media/Apps",47.54344617764
"9","US/UK",74.5471220718352
