,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
1067,0.0005564830273,0.0005564830273,0.0005564830273,0.003338898164,0.0005564830273,0.0005564830273,0.0005564830273,0.0005564830273,0.9910962716
1068,0.0005564830273,0.0005564830273,0.0005564830273,0.0005564830273,0.0005564830273,0.0005564830273,0.0005564830273,0.0061213133,0.9883138564
1069,0.0005564830273,0.0005564830273,0.0005564830273,0.003338898164,0.0005564830273,0.003338898164,0.003338898164,0.0005564830273,0.9855314413
1070,0.0005564830273,0.0005564830273,0.0005564830273,0.003338898164,0.0005564830273,0.0005564830273,0.0005564830273,0.0005564830273,0.9910962716
1071,0.0004768717215,0.2651406772,0.0004768717215,0.07677634716,0.01001430615,0.0004768717215,0.0004768717215,0.0004768717215,0.0004768717215
1072,0.0004768717215,0.2746781116,0.002861230329,0.08631378159,0.0004768717215,0.0004768717215,0.005245588937,0.0004768717215,0.0004768717215
1073,0.0002005213555,0.0002005213555,0.0002005213555,0.0002005213555,0.0002005213555,0.0002005213555,0.0002005213555,0.0002005213555,0.0002005213555
1074,0.0002005213555,0.0002005213555,0.0002005213555,0.0002005213555,0.0002005213555,0.0002005213555,0.0002005213555,0.0002005213555,0.0002005213555
1075,0.0004450378282,0.0004450378282,0.0004450378282,0.1984868714,0.01379617267,0.06052514464,0.1339563863,0.0004450378282,0.5834445928
1076,0.0004450378282,0.02269692924,0.0004450378282,0.191811304,0.002670226969,0.03604806409,0.1628838451,0.0004450378282,0.5700934579
1077,0.007120605251,0.00489541611,0.0004450378282,0.1873609257,0.0004450378282,0.04049844237,0.1873609257,0.002670226969,0.5589675122
1078,0.0004450378282,0.0004450378282,0.00489541611,0.1851357365,0.0004450378282,0.06497552292,0.1495327103,0.00489541611,0.5878949711
1079,0.0004500450045,0.0004500450045,0.0004500450045,0.0004500450045,0.0004500450045,0.0004500450045,0.0004500450045,0.0004500450045,0.5697569757
1080,0.0004500450045,0.0004500450045,0.0004500450045,0.0004500450045,0.0004500450045,0.0004500450045,0.0004500450045,0.0004500450045,0.5450045005
1081,0.2739888977,0.0003965107058,0.0003965107058,0.0003965107058,0.0003965107058,0.0003965107058,0.004361617764,0.0003965107058,0.7180808882
1082,0.2997620936,0.0003965107058,0.0003965107058,0.0003965107058,0.0003965107058,0.0003965107058,0.0003965107058,0.0003965107058,0.6962727994
1083,0.0002935133549,0.0002935133549,0.0002935133549,0.0002935133549,0.0002935133549,0.0002935133549,0.0002935133549,0.0002935133549,0.9967713531
1084,0.001761080129,0.0002935133549,0.0002935133549,0.0002935133549,0.0002935133549,0.0002935133549,0.0002935133549,0.0002935133549,0.9953037863
1085,0.00487012987,0.0900974026,0.05762987013,0.00487012987,0.06574675325,0.0008116883117,0.0008116883117,0.0008116883117,0.0008116883117
1086,0.0008116883117,0.0413961039,0.07792207792,0.0008116883117,0.09415584416,0.0008116883117,0.0008116883117,0.00487012987,0.0008116883117
1087,0.01149425287,0.2509578544,0.001915708812,0.01149425287,0.001915708812,0.001915708812,0.1072796935,0.001915708812,0.01149425287
1088,0.04022988506,0.2892720307,0.001915708812,0.001915708812,0.001915708812,0.001915708812,0.04022988506,0.01149425287,0.01149425287
1089,0.001915708812,0.3084291188,0.01149425287,0.001915708812,0.001915708812,0.001915708812,0.0785440613,0.030651341,0.001915708812
1090,0.001915708812,0.2701149425,0.001915708812,0.001915708812,0.001915708812,0.001915708812,0.08812260536,0.001915708812,0.001915708812
1091,0.3742894622,0.0004372540446,0.0004372540446,0.0004372540446,0.0004372540446,0.0004372540446,0.0004372540446,0.0004372540446,0.6213379974
1092,0.3699169217,0.0004372540446,0.0004372540446,0.0004372540446,0.0004372540446,0.0004372540446,0.0004372540446,0.0004372540446,0.6257105378
1093,0.4248302619,0.0004849660524,0.0004849660524,0.0004849660524,0.0004849660524,0.0004849660524,0.0004849660524,0.002909796314,0.5654704171
1094,0.3714839961,0.0004849660524,0.0004849660524,0.0004849660524,0.0004849660524,0.0004849660524,0.0004849660524,0.002909796314,0.6188166828
1095,0.2896440129,0.0004045307443,0.0004045307443,0.0004045307443,0.0004045307443,0.002427184466,0.0004045307443,0.0004045307443,0.7042880259
