"","colSums.topicdf.unstemmed."
"1",141.462627241835
"2",123.76441124063
"3",184.790079363154
"4",63.6545308712657
"5",150.177622638884
"6",241.905643307416
"7",188.846997487989
"8",99.7349817941059
"9",135.159071402245
"10",90.9713718458631
"11",48.1047288508934
"12",49.9139769796538
"13",25.5139569760655
